STATES,LAT,LONG,POPULATION
ABIA,5.5225,7.493,3817811
ADAMAWA,9.2766,12.3838,4360685
AKWA IBOM,4.9576,7.84,5656597
ANAMBRA,6.1964,6.9834,5667914
BAUCHI,10.4102,9.9639,6745302
BAYELSA,4.6858,6.0158,2338146
BENUE,7.3574,8.7588,5899699
BORNO,11.8371,13.1485,6046625
CROSS RIVER,5.2701,8.5415,3968419
DELTA,5.5294,5.8015,5831307
EBONYI,6.2722,8.0953,2953388
EDO,6.4312,5.8944,4338397
EKITI,7.6712,5.318,3364262
ENUGU,6.45,7.507,4532413
FCT,8.9353,7.23,3911806
GOMBE,10.3192,11.2017,3353547
IMO,5.5462,7.0865,5569151
JIGAWA,12.3199,9.5637,5982151
KADUNA,10.5088,7.4382,8479287
KANO,11.9992,8.5323,13478802
KATSINA,12.9866,7.624,8046663
KEBBI,11.6586,4.0848,4566927
KOGI,7.7893,6.7085,4596500
KWARA,8.9665,4.6988,3280692
LAGOS,6.5214,3.2942,12922780
NASARAWA,8.5608,8.1687,2592780
NIGER,9.8337,5.5481,5733023
OGUN,7.1393,3.3538,5378078
ONDO,6.9277,5.066,4800155
OSUN,7.5323,4.5152,4845129
OYO,8.1544,3.6991,8090326
PLATEAU,9.1822,9.5027,4302391
RIVERS,4.6656,7.0309,7536301
SOKOTO,13.0404,5.2426,5135525
TARABA,8.2089,10.9726,3147864
YOBE,12.3265,11.5391,3402506
ZAMFARA,12.1674,6.2946,4649330
